SurveyID,Date,SnorkelCrew,ShoreCrew,Recorder,RiverFlow,Weather,VisibilityComments,TempTime,Location,SnorkelTimeStart,SnorkelTimeStop,Comments,SurveyType,SectionType,Units,X..of.Divers,X..of.Center.Passes,Pass.width,Visibility,Temperature
3,1999-06-30,PH DG,TV,TV,7788,CLR,,(12/30/99 12:00:00),G95,(12/30/99 12:15:00),(12/30/99 12:45:00),Units 323 A+B,Unit,Permanent,,NA,NA,NA,NA,64
4,1999-06-30,PH DG,TV,TV,7788,CLR,,(12/30/99 10:15:00),Big Hole Island,(12/30/99 10:35:00),(12/30/99 12:00:00),"Units 300, 301, 303, 305",Unit,Permanent,,NA,NA,NA,NA,64
5,1999-07-01,PH JK TS,BC,BC,8050,CLR,,(12/30/99 12:00:00),McFarland Bend,(12/30/99 11:45:00),(12/30/99 12:25:00),"Units 449,452,451,453      Flows swift",Unit,Permanent,,NA,NA,NA,1.5,65
6,1999-07-01,"PH, TS, JK",BC,BC,8050,CLR,,(12/30/99 12:40:00),BIG RIFFLE,(12/30/99 12:40:00),(12/30/99 13:35:00),"UNITS 421,423,424",Unit,Random,,NA,NA,NA,1.5,64
7,1999-07-01,TS PH JK,BC,BC,8050,CLR,,(12/30/99 15:15:00),Lower  Hour Riffle,(12/30/99 14:30:00),(12/30/99 15:20:00),"Units 353,355,356,358",Unit,Random,,NA,NA,NA,NA,64.5
10,1999-06-28,"DG, TV",PH,PH,621,CLR,,(12/30/99 12:45:00),ROBINSON RIFFLE,(12/30/99 12:30:00),(12/30/99 13:48:00)," Units 173-177, 179,",Unit,Permanent,,NA,NA,NA,3.5,61.5
11,1999-06-28,TV  DG,PH,PH,621,CLR,,(12/30/99 11:30:00),BELOW GREAT WESTERN RIFFLE,(12/30/99 11:05:00),(12/30/99 12:10:00)," Units 149, 151",Unit,Random,,NA,NA,NA,3.5,60.5
12,1999-06-25,TS  PH  BC,JK,JK,628,CLR,EXCELLENT VIS.,(12/30/99 15:05:00),ALECK RIFFLE,(12/30/99 14:25:00),(12/30/99 15:05:00),"RM 119, 121A",Unit,Permanent,,NA,NA,NA,4.09999990463257,62
13,1999-06-25,TS  BC  PH,JK,JK,628,CLR,GOOD VIS,(12/30/99 11:00:00),BEDROCK PARK,(12/30/99 11:00:00),(12/30/99 13:30:00),"Units 50,52, 54, 55, 56",Unit,Random,,NA,NA,NA,4.09999990463257,58.5
14,1999-06-23,PH  TV,BC,BC,650,CLR,VERY CLEAR,(12/30/99 12:10:00),MOES DITCH,(12/30/99 12:20:00),(12/30/99 13:50:00),"26, FROM HATCHERY ROAD UP",Unit,Permanent,,NA,NA,NA,NA,56
15,1999-06-22,JK PH EE,BC,BC,661,CLR,EXCELLENT VIS.,(12/30/99 10:30:00),HATCHERY RIFFLE,(12/30/99 10:40:00),(12/30/99 11:40:00),"19, 23, 24",Unit,Permanent,,NA,NA,NA,NA,56.5
17,1999-06-04,TS PH EE,JK,JK,1876,CLD,,(12/30/99 11:50:00),MCFARLAND TO SWAMPY BEND,(12/30/99 11:25:00),(12/30/99 15:15:00),,Unit,Random,,NA,NA,NA,1.70000004768372,64.5
18,1999-06-03,JK EE TV DG,PH,PH,1752,CLD,POOR VISIBILITY,(12/30/99 11:10:00),GOOSE TO MCFARLAND,(12/30/99 11:10:00),(NA NA),"408-411,413,417,424-429 ,430 432,433,435-437, 439",Unit,Random,,NA,NA,NA,1,63
19,1999-06-01,DG PH JK,BC,BC,1870,CLD,,(12/30/99 12:00:00),HOUR GLIDE,(12/30/99 11:55:00),(12/30/99 14:10:00),,Unit,Random,,NA,NA,NA,1.5,67
21,1999-05-25,TV EE BC JK,PH,PH,1886,CLR,,(12/30/99 11:00:00),VANCE AVE BOATRAMP TO BIG HOLE BOATRAMP,(12/30/99 11:00:00),(12/30/99 13:10:00),,Comp,,,NA,NA,NA,NA,64
22,1999-05-25,BC JK EE TV,PH,PH,1886,CLR,,(12/30/99 13:40:00),BH BOATRAMP TO G95,(12/30/99 13:40:00),(12/30/99 15:10:00),,Comp,,,NA,NA,NA,NA,66
23,1999-05-24,TV SG DG PH,JK,JK,1886,CLR,EXREMELY POOR VISIBILITY,(12/30/99 13:30:00),THERMALITO BAR TO VANCE AVE RIFFLE,(12/30/99 13:15:00),(12/30/99 14:35:00),,Comp,,,NA,NA,NA,0.600000023841858,65
25,1999-05-20,JK PH SG TV,EE,EE,627,CLR,,(12/30/99 14:00:00),LOWER EYE TO GATEWAY,(12/30/99 14:05:00),(12/30/99 15:30:00),,Comp,,,NA,NA,NA,3.5,58
26,1999-05-20,JK PH SG TV,EE,EE,627,CLD,,(12/30/99 11:40:00),STEEP RIFFLE,(12/30/99 11:40:00),(12/30/99 12:00:00),,Comp,,,NA,NA,NA,2.79999995231628,56.5
28,1999-05-20,JK TV PH SG,EE,EE,627,CLR,,(12/30/99 13:00:00),WEIR TO EYE RIFFLE,(12/30/99 13:00:00),(12/30/99 14:00:00),,Comp,,,NA,NA,NA,2.59999990463257,57.5
29,1999-04-09,ph sg ts,ph,ph,3297,CLR,,(NA NA),Big Hole Island to G95,(12/30/99 11:15:00),(NA NA),Rm 58.6-57.35,Comp,,,NA,NA,NA,NA,51
31,1999-04-12,,ph,,600,,,(NA NA),Table Mtn Bridge to Hatchery Riffle,(NA NA),(NA NA), Rm 66.7-66.9,Comp,,,NA,NA,NA,NA,NA
32,1999-04-12,,ph,,600,,,(NA NA),Hatchery Riffle to  Upper Bedrock Pool,(NA NA),(NA NA),Rm 66.1-66.7,Comp,,,NA,NA,NA,NA,NA
34,1999-04-13,,ph,,600,,,(NA NA),Matthews to Aleck,(NA NA),(NA NA),63.6-64,Comp,,,NA,NA,NA,NA,NA
35,1999-04-13,,,,600,,,(NA NA),Robinson to Steep,(NA NA),(NA NA),rm 61-61.8,Comp,,,NA,NA,NA,NA,NA
36,1999-04-14,PH SG TV DG,PH,PH,4019,,,(NA NA),G95 to Hour Glide,(NA NA),(NA NA),RM 56.6-57.25,Comp,,,NA,NA,NA,NA,NA
37,1999-04-14,PH SG TV DG,PH,PH,4019,,,(NA NA),G95 to Hour Glide,(NA NA),(NA NA),56.6-57.25,Comp,,,NA,NA,NA,NA,NA
40,1999-04-27,DG SG PH TV,DG,DG,621,,,(NA NA),Table Mtn Bridge to Hatchery Riffle,(12/30/99 10:30:00),(12/30/99 11:00:00),66.7-67,Comp,,,NA,NA,NA,NA,51
41,1999-04-27,PH SG DG TV,DG,DG,621,,,(NA NA),Hatchery Riffle,(12/30/99 11:30:00),(12/30/99 12:15:00),RM 66.6-66.7,Comp,,,NA,NA,NA,NA,52
42,1999-04-27,PH SG TV DG,PH,PH,621,,,(NA NA),AUDITORIUM RIFLE,(12/30/99 12:50:00),(12/30/99 13:30:00),RM 66.4-66.6,Comp,,,NA,NA,NA,NA,52
43,1999-04-27,PH SG TV DG,PH,PH,621,,,(NA NA),Lower Auditorium to Upper Bedrock Pool,(12/30/99 13:50:00),(12/30/99 14:20:00),RM 66.1-66.4,Comp,,,NA,NA,NA,NA,53
44,1999-04-27,PH SG TV DG,PH,PH,621,,,(NA NA),Upper Bedrock Pool to H70 Bridge,(12/30/99 14:40:00),(12/30/99 15:10:00),66.1-65.7,Comp,,,NA,NA,NA,NA,53
47,1999-04-29,PH SG EE,PH,PH,621,,,(NA NA),STEEP TO EYE,(12/30/99 12:20:00),(12/30/99 13:15:00),RM 60.3-61,Comp,,,NA,NA,NA,NA,52.5
49,1999-04-29,PH EE SG,PH,PH,621,,,(NA NA),Eye to Gateway,(12/30/99 14:35:00),(12/30/99 15:30:00),RM 59.7-60.3,Comp,,,NA,NA,NA,NA,55.5
51,1999-04-30,TV DG PH,DG,DG,614,,,(NA NA),Trailer park to Aleck,(12/30/99 10:15:00),(12/30/99 11:05:00),63.6-64.45,Comp,,,NA,NA,NA,NA,53
52,1999-04-30,DG PH TV,PH,PH,614,,,(NA NA),ALECK RIFFLE,(12/30/99 11:40:00),(12/30/99 12:38:00),RM 63-63.5,Comp,,,NA,NA,NA,NA,55
53,1999-04-30,PH TV DG EE SG,SG,SG,614,,,(NA NA),ROBINSON,(12/30/99 15:00:00),(12/30/99 16:10:00),61.5-62,Comp,,,NA,NA,NA,NA,NA
56,1999-05-03,ph tv dg,ph,ph,5025,,,(NA NA),island @ bottom of big hole island,(12/30/99 13:55:00),(12/30/99 14:20:00),rm 57.8-57.6,Comp,,,NA,NA,NA,NA,56.5
58,1999-05-04,ph tv dg,dg,dg,4293,,poor visibility,(NA NA),Keister riffle,(12/30/99 14:10:00),(12/30/99 14:40:00),rm 55.2 - 54.9,Comp,,,NA,NA,NA,NA,57
60,1999-05-04,ph tv dg,dg,dg,4293,,poor visibility,(NA NA),lower hour,(12/30/99 11:25:00),(12/30/99 11:50:00),rm 56.3 - 56,Comp,,,NA,NA,NA,NA,56
61,1999-05-04,tv ph dg,dg,dg,4293,,poor visibity,(NA NA),hour glide,(12/30/99 10:40:00),(12/30/99 11:05:00),rm 56.7 -m 56.5,Comp,,,NA,NA,NA,NA,56
62,1999-05-05,JK EE BC,PH,PH,620,,excellent,(NA NA),66.75-67,(12/30/99 12:25:00),(12/30/99 13:30:00),TABLE MTN BRIDGE TO HATCHERY RIFFLE,Comp,,,NA,NA,NA,NA,50.5
63,1999-05-05,EE BC JK,PH,PH,620,,Excellent,(NA NA),66.6-66.75,(12/30/99 13:50:00),(12/30/99 14:45:00),Hatchery Riffle to Auditorium,Comp,,,NA,NA,NA,NA,52
64,1999-05-05,JK BC,JK,JK,620,,excellent,(NA NA),Auditorium,(12/30/99 15:15:00),(12/30/99 15:45:00),rm 66.6-66.6,Comp,,,NA,NA,NA,NA,52
65,1999-05-13,PH TS EE,BC,BC,620,CLR,,(12/30/99 13:42:00),Hatchery Riffle,(12/30/99 13:45:00),(12/30/99 15:20:00),RM 66.6,Unit,Permanent,,NA,NA,NA,NA,52
67,1999-05-17,TV SG DG PH,JK,JK,615,CLR,excellent,(12/30/99 11:30:00),Auditorium TO bedrock,(12/30/99 12:00:00),(NA NA),,Comp,,,NA,NA,NA,NA,55
69,1999-05-17,TV PH DG SG,JK,JK,615,CLR,EXCELLENT,(12/30/99 11:30:00),Hatchery  to Auditorium,(12/30/99 10:00:00),(12/30/99 11:30:00),,Comp,,,NA,NA,NA,NA,54.5
70,1999-05-18,PH EE SG JK TV BC,DG,DG,620,CLR,EXCELLENT!,(NA NA),BEDROCK TO MONTGOMERY,(12/30/99 10:00:00),(NA NA),,Unit,Permanent,,NA,NA,NA,NA,NA
71,1999-05-18,PH JK EE BC SG TV,DG,DG,620,CLR,EXELLENT,(NA NA),MONTGOMERY ST ACCESS TO MATHEWS RIFFLE,(NA NA),(NA NA),,Unit,Permanent,,NA,NA,NA,NA,NA
72,1999-05-18,PH TV SG EE,JK DG,JK DG,620,CLR,EXCELLENT,(NA NA),MATTHEWS TO ALEC,(12/30/99 15:00:00),(12/30/99 16:30:00),,Unit,Permanent,,NA,NA,NA,NA,NA
73,1999-05-19,TV TS PH JK BC,SG,SG,622,CLR,,(12/30/99 14:30:00),Gravel Mine to N. Robinson Riffle,(12/30/99 13:45:00),(12/30/99 15:30:00),,Unit,Permanent,,NA,NA,NA,NA,57
74,1999-05-19,PH TV TS JK BC,SG,SG,622,CLR,,(12/30/99 13:30:00),Great Western to Gravel Mine,(12/30/99 12:15:00),(12/30/99 13:45:00),,Unit,Permanent,,NA,NA,NA,3.5,63
76,1999-05-20,SG PH JK TV EE,EE,EE,627,CLR,,(NA NA),ROBINSONS RIFFLE TO ROBINSONS POOL,(12/30/99 10:35:00),(12/30/99 11:40:00),,Unit,Permanent,,NA,NA,NA,NA,56
77,1999-06-22,PH JK EE,BC,BC,661,CLR,EXCELLENT,(12/30/99 12:55:00),Auditrium Riffle,(12/30/99 12:30:00),(12/30/99 14:30:00),Units 29- 32,Unit,Permanent,,NA,NA,NA,NA,57
78,1999-07-21,PH BC TV KM,JK EE,EE,627,CLR,EXCELLENT,(12/30/99 10:15:00),Hatchery riffle,(12/30/99 10:45:00),(12/30/99 12:40:00),"units 19, 24-25, 32",Unit,Permanent,,NA,NA,NA,NA,59
79,1999-07-21,BC TV PH KM,JK EE,EE,627,CLR,EXCELLENT,(12/30/99 11:15:00),HATCHERY  RIFFLE,(12/30/99 10:45:00),(12/30/99 12:40:00),"UNITS 5, 17, 24-25, 30-32A,",Unit,Permanent,,NA,NA,NA,NA,59
80,1999-07-21,BC PH KM  TV,JK EE,JK,627,CLR,EXCELLENT,(12/30/99 13:30:00),AUDITORIUM,(12/30/99 12:00:00),(12/30/99 13:00:00),UNITS 29-29A,Unit,Permanent,,NA,NA,NA,NA,61
82,1999-07-22,DG TV EE,PH,PH,624,CLR,,(12/30/99 09:25:00),"hatchery riffle, bottom moes ditch to middle moes",(12/30/99 09:15:00),(12/30/99 14:30:00),"UNITS 8,12,13,33",Unit,Permanent,,NA,NA,NA,NA,60
84,1999-06-24,jk dg tv,ph,ph,663,CLR,,(12/30/99 11:10:00),Lower end Moe's ditch,(12/30/99 11:10:00),(12/30/99 11:40:00),unit 33,Unit,Permanent,,NA,NA,NA,2,57.5
85,1999-06-24,jk tv dg,ph,ph dg,663,CLR,,(12/30/99 13:45:00),middle of moe's ditch,(12/30/99 11:40:00),(12/30/99 14:01:00),unit 33,Unit,Permanent,,NA,NA,NA,2,56
86,1999-07-26,tv jk dg,km,km,623,CLR,,(12/30/99 10:30:00),montgomery street,(12/30/99 10:50:00),(12/30/99 11:13:00),unit 77 - 79,Unit,Random,,NA,NA,NA,NA,61
89,1999-07-28,jk km dg,ee,ee,9564,CLR,,(12/30/99 12:15:00),below G95,(12/30/99 11:45:00),(12/30/99 12:10:00),"units 332, 334",Unit,Random,,NA,NA,NA,NA,63
91,1999-07-28,jk km dg,ee,ee,9564,CLR,,(12/30/99 15:00:00),above big hole boat launch,(12/30/99 14:45:00),(12/30/99 15:30:00),"units 279, 281",Comp,,,NA,NA,NA,2.40000009536743,63
92,1999-07-28,jk km dg,ee,ee,9564,CLR,,(12/30/99 10:25:00),g95,(12/30/99 10:40:00),(12/30/99 11:20:00),"units 323A, 323B",Unit,Permanent,,NA,NA,NA,NA,62.5
93,1999-07-29,jk ee km,dg,dg,9315,CLR,,(12/30/99 12:40:00),mcfarland riffle,(12/30/99 11:52:00),(12/30/99 13:00:00),"units 446,449, 451, 453",Unit,Permanent,,NA,NA,NA,3.09999990463257,63
94,1999-07-29,ee jk km,dg,dg,9315,CLR,"poor visibility in 468 , 0.75m",(12/30/99 13:40:00),swampy bend to gridley bridge,(12/30/99 13:30:00),(12/30/99 14:00:00),"units 465, 468",Unit,Random,,NA,NA,NA,3.09999990463257,64
95,1999-08-23,tv ph km,dg,dg/km,600,CLR,,(12/30/99 09:30:00),"Hatchery riffle,  Auditorium riffle",(12/30/99 09:10:00),(12/30/99 10:40:00),"units 19, 24, 25, 29, 31, 31a, 29a",Unit,Permanent,,NA,NA,NA,NA,55
97,1999-08-26,ph ee,tv,tv,4500,CLD,,(12/30/99 10:20:00),g95,(12/30/99 10:15:00),(12/30/99 10:45:00),units 323a 323b weather was smoky,Unit,Permanent,,NA,NA,NA,NA,63
98,1999-08-30,TV PH,JK,JK,5500,CLR,,(12/30/99 14:15:00),"BIG BAR, MCFARLAND",(12/30/99 14:15:00),(12/30/99 14:50:00),"433-435;449,452-453; McFarland=random",Unit,Permanent,,NA,NA,NA,2.90000009536743,65
99,1999-08-26,PH EE,TV,TV,4500,CLD,,(12/30/99 13:35:00),GOOSE RIFFLE,(12/30/99 13:30:00),(12/30/99 14:45:00),"SMOKEY; UNITS 409-410, 411, 413",Unit,Permanent,,NA,NA,NA,NA,64
100,1999-08-26,EE PH,TV,TV,4500,CLD,,(12/30/99 11:30:00),HOUR RIFFLE,(12/30/99 11:15:00),(12/30/99 12:00:00),CLD WITH SMOKE;UNITS 345 AND 347,Unit,Random,,NA,NA,NA,NA,64
102,1999-08-25,PH KM EE,DG,DG,NA,CLD,,(12/30/99 13:05:00),EYE RIFFLE,(12/30/99 13:10:00),(12/30/99 13:30:00),"UNITS 215A, 215B, 216",Unit,Permanent,,NA,NA,NA,NA,61
103,1999-08-25,PH KM EE,DG,DG,NA,CLD,,(12/30/99 09:37:00),ABOVE EYE RIFFLE,(12/30/99 09:40:00),(12/30/99 10:20:00),UNITS 197-199; SMOKEY,Unit,Random,,NA,NA,NA,NA,58
104,1999-08-25,PH KM EE,DG,DG,NA,CLD,,(12/30/99 09:37:00),EYE SIDE CHANNELS,(12/30/99 10:45:00),(12/30/99 12:00:00),"UNITS 205, 210, 217",Unit,Permanent,,NA,NA,NA,NA,58
105,1999-08-24,tv ee km,ph,ph,600,CLD,,(12/30/99 09:35:00),Above Hatchery,(12/30/99 09:30:00),(12/30/99 09:55:00),Units 5-6,Unit,Random,,NA,NA,NA,NA,56
106,1999-08-24,TV EE KM,PH,PH,600,CLD,,(12/30/99 10:55:00),ALECK RIFFLE,(12/30/99 10:50:00),(12/30/99 11:10:00),"UNITS 120, 121, 115, 119 Anglers hampered snorklin",Unit,Permanent,,NA,NA,NA,NA,58
107,1999-08-24,KM TV EE,PH,PH,600,CLD,,(12/30/99 12:10:00),Robinson Riffle,(12/30/99 12:00:00),(12/30/99 13:05:00),"UNITS 169, 170, 171, 173, 174, 175, 176, 177, 178",Unit,Permanent,,NA,NA,NA,NA,59
110,1999-10-06,JK EE TV,KM,KM,600,CLD,,(12/30/99 13:35:00),Steep Riffle,(12/30/99 13:15:00),(12/30/99 13:45:00),Units 185 & 189,Unit,Random,,NA,NA,NA,NA,60
111,1999-10-06,JK EE TV,KM,KM,600,CLR,,(12/30/99 15:15:00),"Weir, Eye  Riffle",(12/30/99 14:30:00),(12/30/99 15:05:00),"Weir units 192, 198 Eye 205,210, 216, 217",Unit,Permanent,,NA,NA,NA,NA,58
112,1999-10-06,JK EE TV,KM,KM,600,CLD,,(12/30/99 12:30:00),Robinson riffle,(12/30/99 12:20:00),(12/30/99 12:45:00),"UNITS 170, 173, 175,177",Unit,Permanent,,NA,NA,NA,NA,56.5
113,1999-10-06,JK EE TV,KM,KM,600,CLR,,(12/30/99 10:55:00),ALECK RIFFLE,(12/30/99 10:55:00),(12/30/99 11:15:00),"UNITS 119, 120, 121",Unit,Permanent,,NA,NA,NA,NA,61
114,1999-10-27,ee ph,tv,tv,2450,RAN,,(12/30/99 14:00:00),g-95,(12/30/99 14:05:00),(12/30/99 14:20:00),,Comp,,,NA,NA,NA,NA,56
116,1999-10-27,ph ee,tv,tv,2450,CLD,hit bottom,(12/30/99 11:35:00),eye riffle main channel,(12/30/99 11:00:00),(12/30/99 11:30:00),"units: 215a, 215b, 216",Comp,,,NA,NA,NA,4.80000019073486,54
117,1999-10-27,ee ph,tv,tv,2450,RAN,,(NA NA),Big Hole boat launch,(12/30/99 13:15:00),(12/30/99 13:30:00),"Units: 297, 298, 299",Comp,,,NA,NA,NA,NA,NA
119,1999-10-27,ph ee,tv,tv,2450,RAN,,(NA NA),Vance Avenue boat launch,(12/30/99 12:45:00),(12/30/99 13:00:00),"Units: 266, 267, 268",Comp,,,NA,NA,NA,NA,NA
120,1999-10-26,ph zh jk,dg,dg,600,CLD,,(12/30/99 14:55:00),eye side channels,(12/30/99 14:30:00),(12/30/99 14:50:00),"Units: 205, 210",Comp,,,NA,NA,NA,NA,55
121,1999-10-26,ph jk zh,dg,dg,600,CLD,,(12/30/99 13:30:00),steep side channel,(12/30/99 13:30:00),(12/30/99 14:15:00),"Units: 189, 192",Comp,,,NA,NA,NA,NA,58.5
122,1999-10-26,zh jk ph,dg,dg,600,CLR,,(12/30/99 11:39:00),Robinson,(12/30/99 11:20:00),(12/30/99 11:50:00),"Units 170,173,174",Comp,,,NA,NA,NA,NA,58
123,1999-10-26,ph jk zh,dg,dg,600,CLD,,(NA NA),"Robinson pond side channels, steep side channel",(12/30/99 12:00:00),(12/30/99 13:00:00),"Units: 190, 189, 172B",Comp,,,NA,NA,NA,NA,NA
124,1999-09-27,ee ph,km,km,3500,CLR,very poor visibility,(NA NA),McFarland Bend,(12/30/99 12:05:00),(12/30/99 12:30:00),units: 451-453,Unit,Permanent,,NA,NA,NA,1,NA
125,1999-09-27,ee ph,km,km,3500,CLR,very poor visibility,(NA NA),Big Bar Riffle,(12/30/99 13:15:00),(12/30/99 13:25:00),Units: 434-435,Unit,Random,,NA,NA,NA,1,NA
128,1999-10-07,ph tv,ee,ee,600,CLR,,(12/30/99 10:30:00),Mathews Riffle,(12/30/99 11:05:00),(NA NA),Unit: 103-105,Comp,,,NA,NA,NA,NA,53.5
129,1999-10-07,tv ph,ee,ee,600,CLR,,(12/30/99 10:30:00),Trailer Park Riffle,(12/30/99 10:45:00),(12/30/99 11:00:00),"Units: 92-98, 100, 101",Comp,,,NA,NA,NA,NA,53.5
130,1999-10-07,ph tv,ee,ee,3900,CLR,"very poor, ,1.3m",(12/30/99 13:00:00),riffle below Vance Avenue boat launch,(12/30/99 13:00:00),(NA NA),"Units: 266, 267",Comp,,,NA,NA,NA,NA,58.5
131,1999-10-25,ee ph dg,km,km,600,CLR,,(NA NA),Hatchery Riffle,(12/30/99 12:05:00),(12/30/99 12:25:00),"Units: 19, 23, 24, 25",Comp,,,NA,NA,NA,NA,NA
133,1999-10-25,ee ph dg,km,km,600,CLR,,(NA NA),Bedrock Park,(12/30/99 13:45:00),(12/30/99 14:00:00),"Units: 54, 55, 56",Comp,Random,,NA,NA,NA,NA,NA
134,1999-10-25,ee ph dg,km,km,600,CLR,,(NA NA),Trailer Park,(12/30/99 14:40:00),(12/30/99 15:00:00),"Units: 96, 97, 98",Comp,Random,,NA,NA,NA,NA,NA
247,2000-06-05,JK EE RK SI,PH,PH,600,CLR,,(12/30/99 10:35:00),Fish Barrier Dam to Hatchery Riffle,(12/30/99 10:40:00),(12/30/99 12:08:00),EE - Units 1 and 5  had 5000 plus WAG fry.,Comp,NA,,NA,NA,NA,NA,56
248,2000-06-05, JK RK SI EE,PH,PH,600,CLR,,(12/30/99 12:30:00),Hatchery Riffle to Auditorium,(12/30/99 12:25:00),(12/30/99 13:15:00),,Comp,NA,,NA,NA,NA,NA,57
249,2000-06-05,JK RK SI EE,PH,PH,600,CLR,,(12/30/99 13:45:00),Auditorium Riffle to Bedrock,(12/30/99 13:40:00),(12/30/99 16:00:00),,Comp,NA,,NA,NA,NA,NA,58
